id,Name,SMILES,Energy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Thermal_correction_to_Enthalpy_Hatree,Entropy_J_per_mol_K,HOMO_Hatree,LUMO_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,ECW_V,Software,Source,Theory_Level
1,ComponentB2,CC(C)C[C@H](N)C(=O)[O-],-905.9460358,0.056006,0.115546,524.3095920000001,-0.09738,0.09571,-906.2327718,-905.8900298,-905.8304898,5.252047999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
2,ComponentB24,CCS(=O)(=O)[O-],-703.1080762,0.045625,0.083596,334.368544,-0.06034,0.177,-703.2340405,-703.0624512,-703.0244802,6.455648,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
3,ComponentB53,N#Cc1cccc([B-](F)(F)F)c1,-648.5194329,0.059178,0.108382,433.2866720000001,-0.13117,0.07338,-648.7386591,-648.4602549,-648.4110509,5.56376,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4,ComponentB54,N#Cc1ccc([B-](F)(F)F)cc1,-648.5204563,0.05922,0.108433,433.366168,-0.12985,0.0733,-648.7398366,-648.4612363,-648.4120233,5.525679999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
5,ComponentB55,Fc1ccccc1[B-](F)(F)F,-655.5110799,0.054483,0.1006,406.1032240000001,-0.10501,0.12602,-655.7225732,-655.4565969,-655.4104799,6.284016,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
6,ComponentB56,F[B-](F)(F)c1cccc(C(F)(F)F)c1,-893.3341618,0.060705,0.115897,486.021808,-0.12387,0.09832,-893.6105914,-893.2734568,-893.2182647999999,6.043568,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
7,ComponentB57,Fc1cccc([B-](F)(F)F)c1,-655.5125677,0.053759,0.100578,412.2913600000001,-0.10816,0.12419,-655.7242276,-655.4588087,-655.4119896999999,6.31992,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
8,ComponentB58,COc1cccc([B-](F)(F)F)c1,-670.7797225,0.090724,0.141614,448.131504,-0.08787,0.13302,-671.0150252,-670.6889985,-670.6381085,6.008208,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
9,ComponentB59,F[B-](F)(F)c1ccc(C(F)(F)F)cc1,-893.3349465,0.060719,0.115924,486.130592,-0.12701,0.09871,-893.6114193,-893.2742275,-893.2190225,6.139584000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
10,ComponentB60,Fc1ccc([B-](F)(F)F)cc1,-655.5115363,0.05379,0.100614,412.3332,-0.10288,0.12152,-655.7232078,-655.4577462999999,-655.4109223,6.10368,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
11,ComponentB61,COc1ccc([B-](F)(F)F)cc1,-670.7771805,0.090542,0.141574,449.3867040000001,-0.08528,0.12926,-671.0123528,-670.6866385,-670.6356065,5.835488,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
12,ComponentB81,O=C(O)c1ccccc1[O-],-495.4510965,0.068531,0.111355,377.112288,-0.0288,0.1198,-495.6406935,-495.3825655,-495.3397415,4.04192,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
13,ComponentB82,NCCS(=O)(=O)[O-],-758.4600847,0.06189,0.102327,356.091872,-0.07175,0.16775,-758.6065057,-758.3981947000001,-758.3577577000001,6.514399999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
14,ComponentB86,COc1ccccc1[B-](F)(F)F,-670.7781872,0.09201,0.141727,437.801208,-0.07755,0.13579,-671.0151631,-670.6861772000001,-670.6364602000001,5.802847999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
15,ComponentB114,COCCOCCOS(=O)(=O)[O-],-1046.6626845,0.129404,0.186671,504.293336,-0.09374,0.14429,-1046.9185025,-1046.5332805,-1046.4760135,6.474416000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
16,ComponentB120,CCCCCCCCCCOS(=O)(=O)[O-],-1092.7703437,0.253986,0.320532,585.998488,-0.09016,0.10821,-1093.1101791,-1092.5163577,-1092.4498117,5.395664,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
17,ComponentB123,O=C(CF)OOB([O-])OOC(=O)CF,-905.9460358,0.056006,0.115546,524.3095920000001,-0.09738,0.09571,-906.2327718,-905.8900298,-905.8304898,5.252047999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
18,ComponentB163,O=S(=O)([O-])Cl,-747.2327407,0.019048,0.069523,444.483056,-0.1093,0.088,-747.4561757,-747.2136927,-747.1632177,5.366559999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
