id,Name,SMILES,Energy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Thermal_correction_to_Enthalpy_Hatree,Entropy_J_per_mol_K,HOMO_Hatree,LUMO_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,ECW_V,Software,Source,Theory_Level
1,ComponentA9,CCOCC[N+]1(C)CCCC1,-484.6546604,0.242185,0.294891,464.126936,-0.40271,-0.1205,-484.9208143,-484.4124754,-484.3597694,7.676112,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
2,ComponentA10,CCCCC[n+]1ccn(CC)c1,-501.7095016,0.231569,0.288519,501.49424,-0.42644,-0.1813,-501.9868404,-501.4779326,-501.4209826,6.667808,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
3,ComponentA11,CCOCCn1cc[n+](C)c1,-498.3066667,0.18283,0.236185,469.838096,-0.39504,-0.17675,-498.5553027,-498.1238367,-498.0704817,5.937488,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4,ComponentA12,CCOCC[n+]1ccccc1,-481.0483951,0.175027,0.225258,442.336664,-0.39943,-0.2373,-481.293733,-480.8733681,-480.8231371,4.409936,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
5,ComponentA20,CCn1cc[n+](CCOC)c1,-498.3071013,0.183296,0.236355,467.239832,-0.39887,-0.17341,-498.5550406,-498.1238053,-498.0707463,6.132511999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
6,ComponentA22,COCC[n+]1ccccc1,-441.7393463,0.149945,0.196508,410.036184,-0.4048,-0.23909,-441.9596579,-441.5894013,-441.5428383,4.507312,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
7,ComponentA23,CCCOCC[n+]1ccccc1,-520.3545827,0.200094,0.254088,475.473944,-0.39835,-0.23756,-520.6243708,-520.1544887,-520.1004947,4.373487999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
8,ComponentA24,CCCCCCC(O)CNCCCn1cc[nH+]c1,-789.4822513,0.354556,0.428035,647.051416,-0.33667,-0.19171,-789.8939144,-789.1276953,-789.0542163,3.942912000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
9,ComponentA25,COCCC[N+]1(C)CCCC1,-484.6538342,0.242921,0.295276,461.030776,-0.39155,-0.11757,-484.9195894,-484.4109132,-484.3585582,7.452256,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
10,ComponentA26,COCCC[n+]1ccccc1,-481.0480631,0.176316,0.225646,434.399616,-0.39497,-0.2376,-481.293009,-480.8717471,-480.8224171,4.280463999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
11,ComponentA28,CCOC[n+]1ccccc1,-441.7390386,0.148991,0.196136,415.1574,-0.4443,-0.24216,-441.9601801,-441.5900476,-441.5429026,5.498207999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
12,ComponentA31,COC[n+]1ccccc1,-402.4289849,0.123903,0.167443,383.413392,-0.45309,-0.24647,-402.6250457,-402.3050819,-402.2615419,5.620064,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
13,ComponentA32,C=CCn1cc[n+](CCO)c1,-497.0895234,0.161884,0.213278,452.579096,-0.40941,-0.17553,-497.3269526,-496.9276394,-496.8762454,6.361536,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
14,ComponentA49,CCCC[n+]1ccccc1C,-445.1523898,0.198716,0.248255,436.236392,-0.4449,-0.23392,-445.4017626,-444.9536738,-444.9041348,5.738656000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
15,ComponentA51,CCCC[n+]1ccn(CC)c1,-462.4047371,0.206107,0.259544,470.561928,-0.42774,-0.18248,-462.6577175,-462.1986301,-462.1451931,6.671072,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
16,ComponentA52,CCCC[n+]1ccn(CCC(C)C)c1,-580.3244091,0.282755,0.345811,555.271192,-0.42454,-0.17637,-580.6500739,-580.0416541000001,-579.9785981,6.750223999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
17,ComponentA91,CCCCC[n+]1ccn(CCCC)c1,-580.3217966,0.282464,0.346412,563.120376,-0.42393,-0.17894,-580.6476984,-580.0393326,-579.9753846,6.663728,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
18,ComponentA92,CCCCn1c[n+](C)cn1,-439.1176145,0.167679,0.218967,451.64188,-0.4605,-0.20373,-439.3434874,-438.9499355,-438.8986475,6.984144000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
19,ComponentA100,CCCC[NH+]1CCCC1,-370.1373793,0.214906,0.261443,409.806064,-0.47016,-0.15117,-370.3605488,-369.9224733,-369.8759363,8.676528,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
20,ComponentA101,CCCC[n+]1ccn(C2CCCC2)c1,-579.1205855,0.265583,0.324618,519.862,-0.42101,-0.17476,-579.4341892,-578.8550025,-578.7959675,6.698,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
21,ComponentA103,CCCCCCCCCCn1c[n+](C)cn1,-674.9446561,0.322563,0.392919,619.554168,-0.38171,-0.20365,-675.3158677,-674.6220931,-674.5517371,4.843232,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
22,ComponentA106,CCCCCCCCCCCCn1c[n+](C)cn1,-753.5553921,0.374447,0.450883,673.092632,-0.37274,-0.20014,-753.9746427,-753.1809450999999,-753.1045091,4.69472,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
23,ComponentA111,CC[n+]1ccccc1C,-366.5410595,0.147196,0.19036,380.09548,-0.45009,-0.23819,-366.7415048,-366.3938635,-366.3506995,5.763679999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
24,ComponentA139,CCn1c[n+](C)cn1,-360.5055541,0.117233,0.161168,386.89448,-0.47994,-0.20603,-360.6821466,-360.3883211,-360.3443861,7.450352,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
25,ComponentA141,CC[n+]1cc[nH]c1,-305.1780748,0.105505,0.144414,342.623576,-0.44798,-0.19956,-305.3326005,-305.0725698,-305.0336608,6.757023999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
26,ComponentA145,CCCCCC[N+]1(C)CCCCC1,-527.3643145,0.319023,0.376727,508.142616,-0.43079,-0.11768,-527.6823763,-527.0452915,-526.9875875,8.516592,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
27,ComponentA147,CCCCCCn1cc[n+](C)c1C,-541.0237192,0.257008,0.317215,530.179744,-0.41324,-0.17104,-541.3246377,-540.7667111999999,-540.7065041999999,6.58784,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
28,ComponentA155,CCCCCCn1c[n+](C)cn1,-517.7261434,0.219523,0.276952,505.715896,-0.42162,-0.20489,-518.0006686,-517.5066204,-517.4491913999999,5.895056,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
29,ComponentA156,CCCCCC[n+]1ccc(C)cc1,-523.7631756,0.247295,0.305988,516.8411520000001,-0.42838,-0.22923,-524.0617707,-523.5158806,-523.4571876,5.41688,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
30,ComponentA159,CCCOCC[N+]1(C)CCCC1,-523.9598682,0.267458,0.323586,494.264288,-0.40227,-0.11594,-524.2513636,-523.6924101999999,-523.6362822,7.788176000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
31,ComponentA163,C[NH+]1CCCC1=O,-326.2316254,0.115829,0.155161,346.35152,-0.48655,-0.22935,-326.3963116,-326.1157964,-326.0764644,6.995839999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
32,ComponentA164,CCCOCCn1cc[n+](C)c1,-537.6112523,0.208223,0.264993,499.916872,-0.38914,-0.18021,-537.8843531,-537.4030293000001,-537.3462593,5.682896,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
33,ComponentA173,C[n+]1cc[nH]c1,-265.8679752,0.080072,0.115598,312.8460480000001,-0.45306,-0.20418,-265.9978543,-265.7879032,-265.7523772,6.769536,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
34,ComponentA174,C[NH+]1CCCCC1,-291.5377837,0.164741,0.203656,342.686336,-0.49511,-0.15035,-291.7110603,-291.3730427,-291.3341277,9.377472,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
35,ComponentA175,C[n+]1ccccc1,-287.915243,0.095004,0.133096,335.439648,-0.47348,-0.25292,-288.0667051,-287.820239,-287.782147,5.999232000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
36,ComponentA187,CCCCCCCC[n+]1cccc(C)c1C,-641.6803947,0.326433,0.392772,584.1742640000001,-0.40598,-0.2237,-642.0510801,-641.3539617,-641.2876226999999,4.958016,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
37,ComponentA189,CC[N+](C)(C)CCOC(C)=O,-520.5798812,0.213684,0.269236,489.1849120000001,-0.40377,-0.12776,-520.8466886,-520.3661972000001,-520.3106452000001,7.507471999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
