id,Component_Name_B,Component_SMILES_B,Component_B_Energy_Hatree,Component_B_Thermal_correction_to_Gibbs_Free_Energy_Hatree,Component_B_Thermal_correction_to_Enthalpy_Hatree,Component_B_Entropy_J_per_mol_K,Component_B_HOMO_Hatree,Component_B_LUMO_Hatree,Component_B_Dipole_Debye,Component_B_Gibbs_Free_Energy_Hatree,Component_B_Enthalpy_Hatree,Component_B_ECW_V,Software,Source,Theory_Level
1,electrolyte1,CCOC,-194.306102,0.076354,0.110973,304.858792,-0.25597,0.04266,-194.4112118,-194.229748,-194.195129,8.122735999999998,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
2,electrolyte2,COC(C)C,-233.6138576,0.101393,0.139372,334.435488,-0.25316,0.03912,-233.7430761,-233.5124646,-233.4744856,7.950016,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
3,electrolyte3,CCOCC,-233.613402,0.101595,0.139738,335.887336,-0.25292,0.0404,-233.7438375,-233.511807,-233.473664,7.978303999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4,electrolyte4,CCCOC,-233.612784,0.101808,0.13983,334.8246,-0.25767,0.04385,-233.7425346,-233.510976,-233.472954,8.201344,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
5,electrolyte5,COCOC,-269.520557,0.079404,0.116988,330.971136,-0.27378,0.04688,-269.6442283,-269.441153,-269.403569,8.721952,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
6,electrolyte6,C1CCOC1,-232.4126638,0.084295,0.118669,302.695664,-0.24495,0.03723,-232.5293008,-232.3283688,-232.2939948,7.675295999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
7,electrolyte7,C1COCO1,-268.320625,0.061617,0.095416,297.6413920000001,-0.26119,0.03955,-268.430623,-268.259008,-268.225209,8.180128,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
8,electrolyte8,COC(C)(C)C,-272.9244061,0.126149,0.167258,362.003864,-0.25322,0.03722,-273.0771678,-272.7982571,-272.7571481,7.899968,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
9,electrolyte9,CCOC(C)C,-272.9191718,0.127507,0.168242,358.711056,-0.25051,0.03839,-273.0734585,-272.7916648,-272.7509298,7.858079999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
10,electrolyte10,CCC(C)OC,-272.9177864,0.126863,0.168391,365.689968,-0.25125,0.04026,-273.0713383,-272.7909234,-272.7493954,7.929072,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
