id,Name,SMILES,Energy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Thermal_correction_to_Enthalpy_Hatree,Entropy_J_per_mol_K,HOMO_Hatree,LUMO_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,ECW_V,Software,Source,Theory_Level
1,IL1,CCCC[P+](CCCC)(CCCC)CCCN.C[C@H](N)C(=O)[O-],-1311.7630809,0.500779,0.597048,847.745344,-0.19753,0.00293,-1312.3556184,-1311.2623019,-1311.1660329,5.452512,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
2,IL2,CC(C)C[C@H](N)C(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCN,-1429.6854192,0.578313,0.683681,927.8731280000001,-0.19077,-0.00083,-1430.343444,-1429.1071062,-1429.0017382,5.166367999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
3,IL4,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2250.5429296,0.209998,0.299753,790.3827040000001,-0.27565,-0.04179,-2251.0803715,-2250.3329316,-2250.2431766,6.360992,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4,IL5,CCCn1cc[n+](C)c1C.N#C[S-],-914.3513672,0.184637,0.244204,524.543896,-0.17933,-0.03734,-914.6411761,-914.1667302000001,-914.1071632000001,3.862128,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
5,IL6,CC(=O)[O-].Cn1cc[n+](C)c1,-533.8458754,0.141271,0.197023,490.954744,-0.19305,-0.021,-534.0911734,-533.7046044,-533.6488524,4.67976,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
6,IL7,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2132.6101881,0.13238,0.213462,713.9996000000001,-0.26985,-0.05004,-2133.0730851,-2132.4778081,-2132.3967261,5.978831999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
7,IL8,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,-1044.3498227,0.145807,0.206654,535.8155919999999,-0.22324,-0.03986,-1044.6241799,-1044.2040157,-1044.1431687,4.987935999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
8,IL11,CCOCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2325.7445329,0.2136,0.305839,812.256656,-0.26801,-0.04245,-2326.3043621,-2325.5309329,-2325.4386939,6.135232000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
9,IL12,CCOCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2308.4812365,0.205022,0.294907,791.52912,-0.2765,-0.10729,-2309.0403538,-2308.2762145,-2308.1863295,4.602512000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
10,IL13,C[N+]1(CCO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2233.4757048,0.219489,0.307064,771.1865120000001,-0.25868,-0.01788,-2234.0043459,-2233.2562158,-2233.1686408,6.54976,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
