id,Dimer_Name,Dimer_SMILES,Component_Name_A,Component_SMILES_A,Component_Name_B,Component_SMILES_B,Component_A_Energy_Hatree,Component_B_Energy_Hatree,Component_B_Thermal_correction_to_Gibbs_Free_Energy_Hatree,Component_B_Thermal_correction_to_Enthalpy_Hatree,Component_B_Entropy_J_per_mol_K,Component_A_HOMO_Hatree,Component_B_HOMO_Hatree,Component_A_Dipole_Debye,Component_B_Dipole_Debye,Component_A_LUMO_Hatree,Component_B_LUMO_Hatree,Component_B_Gibbs_Free_Energy_Hatree,Component_B_Enthalpy_Hatree,Dimer_Energy_Hatree,Dimer_Thermal_correction_to_Gibbs_Free_Energy_Hatree,Dimer_Thermal_correction_to_Enthalpy_Hatree,Dimer_Entropy_J_per_mol_K,Dimer_HOMO_Hatree,Dimer_LUMO_Hatree,Dimer_Dipole_Debye,Dimer_Gibbs_Free_Energy_Hatree,Dimer_Enthalpy_Hatree,Binding_energy_kJ_per_mol,Software,Source,Theory_Level
4198,Li+_electrolyte1,CCOC.[Li+],Li+,[Li+],electrolyte1,CCOC,-7.2811983,-194.306102,0.076354,0.110973,304.858792,-2.3488,-0.25597,-7.2849058,-194.4112118,-0.25486,0.04266,-194.229748,-194.195129,-201.6124943,0.076438,0.113354,325.07588,-0.45656,-0.21758,-201.7257185,-201.5360563,-201.4991403,-66.1468469999975,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4199,Li+_electrolyte2,COC(C)C.[Li+],Li+,[Li+],electrolyte2,COC(C)C,-7.2811983,-233.6138576,0.101393,0.139372,334.435488,-2.3488,-0.25316,-7.2849058,-233.7430761,-0.25486,0.03912,-233.5124646,-233.4744856,-240.9639012,0.101125,0.143295,371.346736,-0.45553,-0.20141,-241.1055055,-240.8627762,-240.8206062,-180.7533351500548,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4200,Li+_electrolyte3,CCOCC.[Li+],Li+,[Li+],electrolyte3,CCOCC,-7.2811983,-233.613402,0.101595,0.139738,335.887336,-2.3488,-0.25292,-7.2849058,-233.7438375,-0.25486,0.0404,-233.511807,-233.473664,-240.9677305,0.10142,0.143558,371.070592,-0.45664,-0.19482,-241.1096031,-240.8663105,-240.8241725,-192.0033400999476,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4201,Li+_electrolyte4,CCCOC.[Li+],Li+,[Li+],electrolyte4,CCCOC,-7.2811983,-233.612784,0.101808,0.13983,334.8246,-2.3488,-0.25767,-7.2849058,-233.7425346,-0.25486,0.04385,-233.510976,-233.472954,-240.9647591,0.102219,0.143767,365.86988,-0.45952,-0.19266,-241.1067278,-240.8625401,-240.8209921,-185.8244884000116,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4202,Li+_electrolyte5,COCOC.[Li+],Li+,[Li+],electrolyte5,COCOC,-7.2811983,-269.520557,0.079404,0.116988,330.971136,-2.3488,-0.27378,-7.2849058,-269.6442283,-0.25486,0.04688,-269.441153,-269.403569,-276.8842317,0.079826,0.121143,363.828088,-0.45973,-0.17692,-277.0225372,-276.8044057,-276.7630887,-216.5417881998997,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4203,Li+_electrolyte6,C1CCOC1.[Li+],Li+,[Li+],electrolyte6,C1CCOC1,-7.2811983,-232.4126638,0.084295,0.118669,302.695664,-2.3488,-0.24495,-7.2849058,-232.5293008,-0.25486,0.03723,-232.3283688,-232.2939948,-239.7650186,0.085263,0.122735,329.97116,-0.45098,-0.19934,-239.8941119,-239.6797556,-239.6422836,-186.8213907500019,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4204,Li+_electrolyte7,C1COCO1.[Li+],Li+,[Li+],electrolyte7,C1COCO1,-7.2811983,-268.320625,0.061617,0.095416,297.6413920000001,-2.3488,-0.26119,-7.2849058,-268.430623,-0.25486,0.03955,-268.259008,-268.225209,-275.6628327,0.062455,0.099259,324.088456,-0.44188,-0.2053,-275.7859983,-275.6003777,-275.5635737,-160.1801797001204,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4205,Li+_electrolyte8,COC(C)(C)C.[Li+],Li+,[Li+],electrolyte8,COC(C)(C)C,-7.2811983,-272.9244061,0.126149,0.167258,362.003864,-2.3488,-0.25322,-7.2849058,-273.0771678,-0.25486,0.03722,-272.7982571,-272.7571481,-280.2798705,0.12708,0.171121,387.827512,-0.45069,-0.19099,-280.4453179,-280.1527905,-280.1087495,-194.9856455499697,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4206,Li+_electrolyte9,CCOC(C)C.[Li+],Li+,[Li+],electrolyte9,CCOC(C)C,-7.2811983,-272.9191718,0.127507,0.168242,358.711056,-2.3488,-0.25051,-7.2849058,-273.0734585,-0.25486,0.03839,-272.7916648,-272.7509298,-280.233285,0.128137,0.17082,375.857088,-0.42417,-0.207,-280.3965146,-280.105148,-280.062465,-86.41806994994803,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4207,Li+_electrolyte10,CCC(C)OC.[Li+],Li+,[Li+],electrolyte10,CCC(C)OC,-7.2811983,-272.9177864,0.126863,0.168391,365.689968,-2.3488,-0.25125,-7.2849058,-273.0713383,-0.25486,0.04026,-272.7909234,-272.7493954,-280.2737473,0.128606,0.172095,382.96152,-0.44816,-0.18947,-280.4392354,-280.1451413,-280.1016523,-196.2892063001111,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
