id,Dimer_Name,Dimer_SMILES,Component_Name_A,Component_SMILES_A,Component_Name_B,Component_SMILES_B,Component_A_Energy_Hatree,Component_B_Energy_Hatree,Component_A_Thermal_correction_to_Gibbs_Free_Energy_Hatree,Component_B_Thermal_correction_to_Gibbs_Free_Energy_Hatree,Component_A_Thermal_correction_to_Enthalpy_Hatree,Component_B_Thermal_correction_to_Enthalpy_Hatree,Component_A_Entropy_J_mol_K,Component_B_Entropy_J_mol_K,Component_A_HOMO_Hatree,Component_B_HOMO_Hatree,Component_A_Dipole_Debye,Component_B_Dipole_Debye,Component_A_LUMO_Hatree,Component_B_LUMO_Hatree,Component_A_Gibbs_Free_Energy_Hatree,Component_A_Enthalpy_Hatree,Component_B_Gibbs_Free_Energy_Hatree,Component_B_Enthalpy_Hatree,Dimer_Energy_Hatree,Dimer_Thermal_correction_to_Gibbs_Free_Energy_Hatree,Dimer_Thermal_correction_to_Enthalpy_Hatree,Dimer_Entropy_J_mol_K,Dimer_HOMO_Hatree,Dimer_Dipole_Debye,Dimer_LUMO_Hatree,Dimer_Gibbs_Free_Energy_Hatree,Dimer_Enthalpy_Hatree,Binding_energy_kJ_mol,Software,Theory_Level,Source
499,Li+_bis(trifluoromethylsulfonyl)imide,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],Li+,[Li+],bis(trifluoromethylsulfonyl)imide,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-7.2811983,-1827.300096,-0.012748,0.007679,0.00236,0.06695,133.042832,521.945632,-2.3488,-0.15011,-7.2849058,-1827.6026494,-0.25486,0.161,-7.2939463,-7.278838299999999,-1827.292417,-1827.233146,-1834.8059179,0.00961,0.07103,540.861496,-0.31757,-1835.1280136,-0.05075,-1834.7963079,-1834.7348879,-589.7492618002266,Gaussian,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3",QC
500,Li+_diethyl-phosphate,CCOP(=O)([O-])OCC.[Li+],Li+,[Li+],diethyl-phosphate,CCOP(=O)([O-])OCC,-7.2811983,-800.8282504,-0.012748,0.107688,0.00236,0.157286,133.042832,436.763576,-2.3488,-0.07332,-7.2849058,-801.0365467,-0.25486,0.16836,-7.2939463,-7.278838299999999,-800.7205624,-800.6709644,-808.3625366,0.107736,0.162057,478.348352,-0.25967,-808.5864152,-0.04353,-808.2548006,-808.2004796,-664.4822814499175,Gaussian,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3",QC
501,Li+_ethyl-sulfate,CCOS(=O)(=O)[O-].[Li+],Li+,[Li+],ethyl-sulfate,CCOS(=O)(=O)[O-],-7.2811983,-778.3321631,-0.012748,0.047795,0.00236,0.088931,133.042832,362.238168,-2.3488,-0.07903,-7.2849058,-778.4758512,-0.25486,0.17326,-7.2939463,-7.278838299999999,-778.2843681,-778.2432321,-785.8560465,0.049903,0.093156,380.8862560000001,-0.28707,-786.0113472,-0.05243,-785.8061435000001,-785.7628905,-637.1697300500446,Gaussian,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3",QC
502,Li+_bis(2-ethylhexyl)phosphate,CCCCC(CC)COP(=O)([O-])OCC(CC)CCCC.[Li+],Li+,[Li+],bis(2-ethylhexyl)phosphate,CCCCC(CC)COP(=O)([O-])OCC(CC)CCCC,-7.2811983,-1272.4908082,-0.012748,0.416921,0.00236,0.504171,133.042832,768.3162880000001,-2.3488,-0.09528,-7.2849058,-1272.9959659,-0.25486,0.11817,-7.2939463,-7.278838299999999,-1272.0738872,-1271.9866372,-1280.0203929,0.419352,0.509025,789.6546880000001,-0.25142,-1280.5393512,-0.03629,-1279.6010409,-1279.5113679,-652.1384932001895,Gaussian,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3",QC
503,Li+_dibutylphosphate,CCCCOP(=O)([O-])OCCCC.[Li+],Li+,[Li+],dibutylphosphate,CCCCOP(=O)([O-])OCCCC,-7.2811983,-958.0531178,-0.012748,0.210993,0.00236,0.273031,133.042832,546.30488,-2.3488,-0.08989,-7.2849058,-958.3618981,-0.25486,0.15418,-7.2939463,-7.278838299999999,-957.8421248,-957.7800868,-965.5835471,0.21597,0.278039,546.5726559999999,-0.26647,-965.9082153,-0.04231,-965.3675771000001,-965.3055081,-654.3559905000233,Gaussian,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3",QC
504,Li+_bis(pentafluoroethylsulfonyl)imide,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F.[Li+],Li+,[Li+],bis(pentafluoroethylsulfonyl)imide,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-7.2811983,-2302.891743,-0.012748,0.023205,0.00236,0.096268,133.042832,643.3862320000001,-2.3488,-0.1565,-7.2849058,-2303.321564,-0.25486,0.1239,-7.2939463,-7.278838299999999,-2302.868538,-2302.795475,-2310.3969183,0.026255,0.100213,651.2688880000001,-0.32201,-2310.8481406,-0.04634,-2310.3706633,-2310.2967053,-588.0516134990803,Gaussian,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3",QC
505,Li+_dodecylbenzenesulfonate,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Li+],Li+,[Li+],dodecylbenzenesulfonate,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,-7.2811983,-1327.1752989,-0.012748,0.370785,0.00236,0.455777,133.042832,748.4381040000001,-2.3488,-0.07722,-7.2849058,-1327.6527174,-0.25486,0.08129,-7.2939463,-7.278838299999999,-1326.8045139,-1326.7195219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gaussian,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3",QC
506,Li+_Anionname12,Cc1cccc(Nc2ccccc2C(=O)[O-])c1C.[Li+],Li+,[Li+],Anionname12,Cc1cccc(Nc2ccccc2C(=O)[O-])c1C,-7.2811983,-785.2358447,-0.012748,0.201107,0.00236,0.262333,133.042832,539.15024,-2.3488,-0.06512,-7.2849058,-785.587276,-0.25486,0.0933,-7.2939463,-7.278838299999999,-785.0347377,-784.9735117,-792.7730686,0.206394,0.268005,542.543464,-0.20835,-793.1382854,-0.02732,-792.5666745999999,-792.5050636,-672.195212799816,Gaussian,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3",QC
507,Li+_Anionname14,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],Li+,[Li+],Anionname14,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-7.2811983,-3254.0611188,-0.012748,0.053881,0.00236,0.154859,133.042832,889.2046,-2.3488,-0.15542,-7.2849058,-3254.7447177,-0.25486,0.09258,-7.2939463,-7.278838299999999,-3254.0072378,-3253.9062598,-2704.3472612,0.025676,0.103421,684.619552,-0.30401,-2704.8243997,-0.05987,-2704.3215852,-2704.2438402,0.0,Gaussian,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3",QC
508,Li+_Anionname16,O=S(=O)([O-])NC1CCCCC1.[Li+],Li+,[Li+],Anionname16,O=S(=O)([O-])NC1CCCCC1,-7.2811983,-914.4841945,-0.012748,0.146319,0.00236,0.195347,133.042832,431.738592,-2.3488,-0.07335,-7.2849058,-914.7146457,-0.25486,0.13532,-7.2939463,-7.278838299999999,-914.3378755,-914.2888475,-417.6509148,0.023544,0.065011,365.1586,-0.24387,-417.8058688,-0.06768,-417.6273708,-417.5859038,0.0,Gaussian,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3",QC
