crystal,label,band_gap,chemsys,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,formula_anonymous,formula_pretty,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
Al,mp-134,0.0,Al,2.720050205218786,16.471717630914863,False,7.05880371,0.0,-3.74557583,0.0,A,Al,False,False,True,True,1,1,0,0,NM,False,0.0,0.0,0.0,-3.74557583,16.471717630914863
Al,mp-173,0.0,Al-Mn,3.451853780140731,14.90090279565272,False,7.84935756,0.0,-4.693050521428572,-0.1736976254187194,AB6,MnAl6,False,False,True,True,2,14,0,0,NM,False,3.7e-06,1.85e-06,1.7736221617580022e-08,-4.693050521428572,208.61263913913808
Al,mp-178,0.0,Al-Th,7.974405909935818,26.968288757062552,False,6.69426831,0.0185702116666668,-5.89967989,-0.3199628499999996,AB,ThAl,False,False,True,False,2,4,0,0,NM,False,0.8638731,0.43193655,0.0080082305905835,-5.89967989,107.8731550282502
Al,mp-188,0.0,Al-Pt,17.271906288275805,14.715192575734305,False,8.17470697,0.0120602256250004,-6.1701995,-0.6804555524999998,AB3,AlPt3,False,False,True,False,2,4,0,0,NM,False,8.4e-06,8.4e-06,1.427096512119691e-07,-6.1701995,58.86077030293721
Al,mp-196,0.0,Al-Co,4.461407961468099,13.4403835698338,False,8.03526829,0.0,-5.167266330357143,-0.460907081785714,A2B5,Al5Co2,False,False,True,True,2,28,0,0,NM,False,3e-07,7.5e-08,7.97171126747702e-10,-5.167266330357143,376.3307399553464
Al,mp-249,0.0,Al-Hf,9.117460651674316,18.710994758011577,False,6.1295378,0.006536805499997,-7.253097455,-0.4017150249999996,AB,HfAl,False,False,True,False,2,4,0,0,NM,False,6e-07,3e-07,8.016676929256996e-09,-7.253097455,74.8439790320463
Al,mp-259,0.0,Al-Mo,8.613730976106718,15.171714049379302,False,8.18386744,0.0,-9.31473047625,-0.2440989362500012,AB3,AlMo3,False,False,True,True,2,8,0,0,NM,False,2e-07,1e-07,1.647803268545177e-09,-9.31473047625,121.37371239503442
Al,mp-261,0.0,Al-Ba,3.836286167377051,29.59014265967876,False,3.89715732,0.0073971257142853,-3.290806861875,-0.2302063656249999,A3B5,Ba3Al5,False,False,True,False,2,16,0,0,NM,False,9e-07,4.5e-07,1.9009708958466593e-09,-3.290806861875,473.4422825548602
Al,mp-284,0.0,Al-Co,6.3656854616754375,11.205766637249347,False,8.41814647,0.0,-6.03842334,-0.6114765274999998,AB,AlCo,False,False,True,True,2,2,0,0,NM,False,0.0,0.0,0.0,-6.03842334,22.411533274498694
Al,mp-331,0.0,Al-Sc,3.1201791359654427,19.14232194170896,False,5.83645083,0.0,-5.48577099,-0.4467485224999992,AB,ScAl,False,False,True,True,2,2,0,0,NM,False,8.3e-06,8.3e-06,2.167971060479146e-07,-5.48577099,38.28464388341792
