crystal,label,band_gap,chemsys,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,formula_anonymous,formula_pretty,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
Ca,mp-21,0.0,Ca,1.5579095887932677,42.71819442535444,False,2.08631759,0.02354205,-1.98205783,0.02354205,A,Ca,False,False,True,False,1,1,0,0,NM,False,0.0448409,0.0448409,0.0010496909011066,-1.98205783,42.71819442535444
Ca,mp-45,0.0,Ca,1.5348156230599654,43.36096382607296,False,2.00973745,0.0,-2.00559988,0.0,A,Ca,False,False,True,True,1,1,0,0,NM,False,2.6e-06,2.6e-06,5.996176677319657e-08,-2.00559988,43.36096382607296
Ca,mp-132,0.0,Ca,1.5275080203385771,43.568402800558474,False,1.92337962,0.005909895,-1.999689985,0.005909895,A,Ca,False,False,True,False,1,4,0,0,NM,False,0.0027074,0.00067685,1.553534113009357e-05,-1.999689985,174.2736112022339
Ca,mp-166,0.0,Ca,1.5738101244536746,42.286603496274395,False,2.05915897,0.0212177900000001,-1.98438209,0.0212177900000001,A,Ca,False,False,True,False,1,1,0,0,NM,True,0.0002139,0.0002139,5.058339576004144e-06,-1.98438209,42.286603496274395
Ca,mp-213,0.0,Ca-Pd,5.646273922385516,21.54214049147553,False,3.85258217,0.0,-4.267843725,-0.6751028799999994,AB,CaPd,False,False,True,True,2,2,0,0,NM,False,2e-07,2e-07,4.642064238675406e-09,-4.267843725,43.08428098295106
Ca,mp-304,0.2999,Ca-Ge,3.034330221343196,27.872568102568895,False,3.37318463,0.0,-3.4920150499999996,-0.6139391783333329,AB2,Ca2Ge,True,False,False,True,2,12,0,0,NM,False,0.0,0.0,0.0,-3.4920150499999996,334.47081723082675
Ca,mp-443,0.0,Au-Ca,10.700090997442418,22.451287257301104,False,3.8198333,0.0,-3.562490525,-0.711369231666667,AB2,CaAu2,False,False,True,True,2,6,0,0,NM,False,0.0,0.0,0.0,-3.562490525,134.70772354380662
Ca,mp-526,0.0,Ca-Tl,9.65569556628142,28.084730921172245,False,5.48435736,0.0,-2.5201017975,-0.2467194675000001,AB3,CaTl3,False,False,True,True,2,4,0,0,NM,False,3.2e-06,3.2e-06,2.8485229295784484e-08,-2.5201017975,112.33892368468898
Ca,mp-538,0.0,Ag-Ca,4.578370715505118,26.82946184578599,False,2.68005112,0.0,-2.756278695,-0.3372007533333327,AB,CaAg,False,False,True,True,2,4,0,0,NM,False,0.0,0.0,0.0,-2.756278695,107.31784738314396
Ca,mp-676,3.4205,Ca-N,2.2255846956560754,13.229468602651878,False,1.01001899,0.0,-7.894900161428572,-0.4628188142857143,AB6,CaN6,True,False,False,True,2,14,0,0,NM,False,0.0,0.0,0.0,-7.58547159,185.21256043712629
