crystal,label,band_gap,chemsys,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,formula_anonymous,formula_pretty,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
K,mp-58,0.0,K,0.8268645208889358,78.51861211537867,False,0.42374303,0.0095604469999999,-1.1008385,0.0095604469999999,A,K,False,False,True,False,1,1,0,0,NM,False,2.58e-05,2.58e-05,3.285845139759775e-07,-1.1008385,78.51861211537867
K,mp-181,0.1478999999999999,Ga-K,4.328097253195336,23.812863164346737,False,2.25904213,0.0,-2.7265304725,-0.1778587188749994,AB3,KGa3,False,False,False,True,2,12,0,0,NM,False,0.0,0.0,0.0,-2.7265304725,285.75435797216085
K,mp-243,3.2748999999999997,C-K,1.5763132409708716,26.919932202874794,False,-0.95354131,0.2685206680625001,-4.920572198125,0.2489600216249998,AB,KC,False,False,False,False,2,16,0,0,NM,False,0.0004064,5.08e-05,9.435387804315316e-07,-4.920572198125,430.7189152459967
K,mp-397,0.0,Cd-K,7.477217354852221,23.801266448533298,False,2.02849289,0.0001435828571426,-0.9808795914285716,-0.0445963180714285,AB13,KCd13,False,False,True,False,2,28,0,0,NM,False,0.0,0.0,0.0,-0.9808795914285716,666.4354605589323
K,mp-463,5.949400000000001,F-K,2.5790805387069127,18.702759347064404,False,-2.78604692,0.0,-4.44685948,-2.9359205227499996,AB,KF,True,False,False,True,2,2,0,0,NM,False,0.0,0.0,0.0,-4.21585948,37.40551869412881
K,mp-531,0.0,K-Si,2.4489147725766673,20.150265352535936,False,6.24668184,0.0569440253703703,-4.737905916851852,0.0481648415925924,A4B23,K4Si23,False,False,True,False,2,54,0,0,NM,False,1.8e-06,9e-07,1.654237934347514e-09,-4.798387398333333,1088.1143290369405
K,mp-644,1.7708,K-Te,3.1492849005159296,38.11482836450416,False,1.12774985,0.0124786456250003,-2.9962317525,-1.123492700625,A3B5,K5Te3,False,False,False,False,2,16,0,0,NM,False,2e-07,1e-07,3.2795635022827724e-10,-2.8379817525,609.8372538320665
K,mp-713,0.6695,As-K,3.0065230460835597,31.487285382106332,False,1.66715281,0.0,-3.338292345,-0.453533669,AB,KAs,True,False,False,True,2,16,0,0,NM,False,0.0,0.0,0.0,-3.338292345,503.7965661137013
K,mp-784,0.0,K-Zn,6.5599441334238096,16.081461562592832,False,2.35314666,0.0,-1.3162787457142855,-0.0672026116428572,AB13,KZn13,False,False,True,True,2,28,0,0,NM,False,5e-07,2.5e-07,1.1104179049670735e-09,-1.3162787457142855,450.28092375259934
K,mp-827,3.9394,K-N,2.0578295824103665,16.364361919405034,False,-0.18786629,0.0,-6.947810984999999,-0.4178400544999991,AB3,KN3,True,False,False,True,2,8,0,0,NM,False,0.0,0.0,0.0,-6.677060985,130.91489535524028
