crystal,label,band_gap,chemsys,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,formula_anonymous,formula_pretty,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
Li,mp-51,0.0,Li,0.5664547498885355,20.347259270998425,False,0.24177617,0.0028927066666666,-1.90603016,0.0028927066666666,A,Li,False,False,True,False,1,1,0,0,NM,False,3.8e-06,3.8e-06,1.8675733912803959e-07,-1.90603016,20.347259270998425
Li,mp-135,0.0,Li,0.5666126169854638,20.34159020777027,False,-0.20708917,0.0051269066666665,-1.90379596,0.0051269066666665,A,Li,False,False,True,False,1,1,0,0,NM,False,8.3e-06,8.3e-06,4.080310297879017e-07,-1.90379596,20.34159020777027
Li,mp-210,0.0,Ba-Li,1.812438997442666,30.250955252107193,False,0.56738038,0.0,-1.9116720846666664,-0.0007388033333332,AB4,BaLi4,False,False,True,True,2,30,0,0,NM,False,0.0006264,0.0001044,6.902261375215767e-07,-1.9116720846666664,907.5286575632158
Li,mp-279,0.0,Ir-Li,12.45683302362025,13.274226233860634,False,4.98204048,0.0,-5.63962162,-0.2659430966666667,AB,LiIr,False,False,True,True,2,2,0,0,NM,False,0.1424125,0.1424125,0.0053642486383396,-5.63962162,26.54845246772127
Li,mp-728,0.0,Li-Pd,4.867689604273123,13.679739056954082,False,1.98739785,0.0,-3.3835279566666667,-0.3842854422222223,AB2,Li2Pd,False,False,True,True,2,3,0,0,NM,False,6e-07,6e-07,1.4620161917367145e-08,-3.3835279566666667,41.03921717086224
Li,mp-736,0.6953999999999998,Li-P,1.478420706442506,14.544328696421564,False,1.67696929,0.0,-3.48159086375,-0.6965730870833333,AB3,Li3P,False,False,False,True,2,8,0,0,NM,False,0.0,0.0,0.0,-3.48159086375,116.35462957137251
Li,mp-757,0.6364999999999998,As-Li,2.51497270858603,15.80411272190072,False,1.37594068,0.0,-3.30835029875,-0.7118785475,AB3,Li3As,False,False,False,True,2,8,0,0,NM,False,0.0,0.0,0.0,-3.30835029875,126.43290177520576
Li,mp-795,0.0,Li-Si,1.876852600281152,15.49478941701445,False,4.68116803,0.0122455636011906,-3.829193219375,-0.1620727710416667,AB,LiSi,False,False,True,False,2,16,0,0,NM,False,7.8e-06,9.75e-07,3.1462189441870584e-08,-3.864693219375,247.9166306722312
Li,mp-841,1.9891,Li-O,2.4144953737440713,7.888486931403914,False,1.32626051,0.0,-5.0786121725,-1.6508063835416662,AB,Li2O2,False,False,False,True,2,8,0,0,NM,False,0.0,0.0,0.0,-4.8461121725,63.107895451231315
Li,mp-934,0.0,Li-Tl,8.621959126622977,20.349914138907696,False,4.86368752,0.0,-2.365372665,-0.2295896583333334,AB,LiTl,False,False,True,True,2,2,0,0,NM,False,1e-07,1e-07,2.457012823675914e-09,-2.365372665,40.69982827781539
