crystal,label,band_gap,chemsys,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,formula_anonymous,formula_pretty,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
Mg,mp-110,0.0,Mg,1.811054814310633,22.28502511067041,False,3.51220795,0.0258018900000001,-1.57447816,0.0258018900000001,A,Mg,False,False,True,False,1,1,0,0,NM,False,0.0,0.0,0.0,-1.57447816,22.28502511067041
Mg,mp-153,0.0,Mg,1.8017993845931344,22.399498167675635,False,2.03846677,0.0092787149999999,-1.591001335,0.0092787149999999,A,Mg,False,False,True,False,1,2,0,0,NM,False,0.0,0.0,0.0,-1.591001335,44.79899633535127
Mg,mp-250,0.0,Ge-Mg,3.083014751826564,21.768774833784992,False,3.57772671,0.4831721600000001,-2.3936013066666666,0.2142613450000003,AB2,Mg2Ge,False,False,True,False,2,6,0,0,NM,False,2.91e-05,1.455e-05,2.2279618568486602e-07,-2.3936013066666666,130.61264900270996
Mg,mp-365,0.3735999999999997,B-Mg,2.5275452685200044,8.875627653976132,False,6.79040123,0.0,-5.80240259,-0.1388331633333329,AB4,MgB4,False,False,False,True,2,20,0,0,NM,False,0.0,0.0,0.0,-5.80240259,177.51255307952263
Mg,mp-384,0.7289000000000003,Mg-P,2.5013063606807036,19.677075407030426,False,5.21312334,0.0,-4.956805909,-0.3061078936666668,AB4,MgP4,False,False,False,True,2,10,0,0,NM,False,0.0,0.0,0.0,-4.956805909,196.7707540703042
Mg,mp-408,0.1520000000000001,Ge-Mg,3.1178885561064233,21.525289545807357,False,3.30060476,0.0,-2.8767734666666667,-0.2689108149999999,AB2,Mg2Ge,False,False,False,True,2,3,0,0,NM,False,0.0,0.0,0.0,-2.8767734666666667,64.57586863742208
Mg,mp-428,0.0,Mg-Pr,3.4832741736938524,25.483269902381288,False,2.93338017,0.0,-2.5215109525,-0.1260744762499999,AB3,PrMg3,False,False,True,True,2,4,0,0,NM,False,1e-07,1e-07,9.810357970451771e-10,-2.5215109525,101.93307960952517
Mg,mp-437,0.0,Au-Mg,10.474231076199365,17.539716375328506,False,5.66318416,0.0,-3.044165975,-0.60708495,AB,MgAu,False,False,True,True,2,2,0,0,NM,False,4e-07,4e-07,1.1402692935292926e-08,-3.044165975,35.07943275065701
Mg,mp-506,0.0,Mg-Pd,6.909571572191266,15.708207608336798,False,4.9459127,0.0,-4.131929,-0.7418480700000001,AB,MgPd,False,False,True,True,2,2,0,0,NM,False,4.7e-06,4.7e-06,1.496033193979934e-07,-4.131929,31.416415216673595
Mg,mp-529,0.0,Mg-Sm,4.144221303837481,26.57495291700593,False,3.22207477,0.0158297183333324,-2.72732407,-0.0876086583333333,AB2,SmMg2,False,False,True,False,2,6,0,0,NM,False,1e-07,5e-08,6.271569593638407e-10,-2.72732407,159.44971750203558
