crystal,label,band_gap,chemsys,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,formula_anonymous,formula_pretty,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume
Zn,mp-79,0.0,Zn,7.53085732013519,14.422554456959176,False,3.29833257,0.0,-1.25974361,0.0,A,Zn,False,False,True,True,1,2,0,0,NM,False,0.0,0.0,0.0,-1.25974361,28.845108913918352
Zn,mp-179,0.0,Y-Zn,4.925355527901485,26.01292795311124,False,2.48136402,0.2786244,-3.9512618,-0.0881544383333334,AB,YZn,False,False,True,False,2,2,0,0,NM,False,0.0013105,0.0013105,2.5189398178517223e-05,-3.9512618,52.02585590622248
Zn,mp-225,0.0,Er-Zn,8.345056510778694,16.39316046405169,False,3.09691819,0.0312987077222217,-2.078136988333333,-0.2670641783333336,AB5,ErZn5,False,False,True,False,2,36,0,0,NM,False,1e-07,1.6666666666666667e-08,1.6944736092037434e-10,-2.078136988333333,590.1537767058608
Zn,mp-303,0.0,Ba-Zn,6.495455758264485,19.785828640124212,False,2.5762968,0.0,-1.5907225766666666,-0.2211070783333332,AB5,BaZn5,False,False,True,True,2,12,0,0,NM,False,0.0,0.0,0.0,-1.5907225766666666,237.42994368149056
Zn,mp-380,1.2004,Se-Zn,5.27537563285386,22.721639290763317,False,1.32116904,0.0052020950000004,-3.32418648,-0.9463589361718748,AB,ZnSe,True,False,False,False,2,4,0,0,NM,False,0.0,0.0,0.0,-3.08818648,90.88655716305328
Zn,mp-394,0.0,Ce-Zn,7.453111931760404,17.347096040653344,False,4.19371054,0.0105614985858584,-2.2993102716666667,-0.2606757375,AB5,CeZn5,False,True,True,False,2,6,1,1,FM,False,1.0213106,1.0213106,0.0098125030803093,-2.2993102716666667,104.08257624392007
Zn,mp-429,0.0,Ni-Zn,8.906568762336324,11.568814487250576,False,5.10916103,0.0,-3.77491068,-0.254970535,AB,ZnNi,False,False,True,True,2,4,0,0,NM,False,6e-07,3e-07,1.2965892068310685e-08,-3.77491068,46.27525794900231
Zn,mp-460,0.0,Pr-Zn,6.747733578401674,25.386068776606116,False,3.1314177,0.0,-3.32662175,-0.3062970675000001,AB,PrZn,False,False,True,True,2,2,0,0,NM,False,0.0002268,0.0002268,4.467016968948768e-06,-3.32662175,50.77213755321223
Zn,mp-514,0.0,Hf-Zn,10.639081268860677,16.092179535439513,False,3.86200591,0.0034184612499998,-4.376261026666667,-0.2173689433333331,AB2,HfZn2,False,True,True,False,2,6,2,1,FM,False,2.0634539,1.03172695,0.0213711873258652,-4.376261026666667,96.55307721263708
Zn,mp-528,0.0,U-Zn,8.881615994745857,15.62632892099494,False,4.55457222,0.0450323165789474,-2.335500666842105,-0.0197921726315788,A2B17,U2Zn17,False,True,True,False,2,19,2,1,FM,False,5.518194,5.518194,0.0185860200835579,-2.335500666842105,296.90024949890386
Zn,mp-536,0.0,Th-Zn,8.857229286557214,18.510643368828795,False,4.10674631,0.0,-2.777712772,-0.287146234,AB4,ThZn4,False,False,True,True,2,5,0,0,NM,False,0.0,0.0,0.0,-2.777712772,92.55321684414398
Zn,mp-638,0.0,Sr-Zn,6.291555757796518,18.24051841757406,False,2.59484852,0.0072683491666667,-1.5466998016666669,-0.2153312177777778,AB5,SrZn5,False,False,True,False,2,6,0,0,NM,False,1e-07,1e-07,9.13716720387122e-10,-1.5466998016666669,109.44311050544437
Zn,mp-657,0.0,Yb-Zn,8.6319977085355,19.48440738501801,False,2.25824747,0.0,-1.71486734,-0.3618355066666667,AB2,YbZn2,False,False,True,True,2,6,0,0,NM,False,0.0,0.0,0.0,-1.71486734,116.90644431010804
Zn,mp-681,0.0,Eu-Zn,7.199695072120108,21.74029842595384,False,2.54534985,0.0,-4.569242478333334,-0.3104128050000003,AB2,EuZn2,False,True,True,True,2,6,2,1,FM,False,14.3842108,7.1921054,0.1102730247623766,-4.569242478333334,130.44179055572303
Zn,mp-753,0.0282,Sb-Zn,6.346784757848934,24.48495170504198,False,4.7378534,0.0,-2.818368823125,-0.123996398125,AB,ZnSb,False,False,False,True,2,16,0,0,NM,False,0.0,0.0,0.0,-2.722368823125,391.75922728067167
Zn,mp-784,0.0,K-Zn,6.5599441334238096,16.081461562592832,False,2.35314666,0.0,-1.3162787457142855,-0.0672026116428572,AB13,KZn13,False,False,True,True,2,28,0,0,NM,False,5e-07,2.5e-07,1.1104179049670735e-09,-1.3162787457142855,450.28092375259934
Zn,mp-836,0.0,Tb-Zn,8.238654433034332,22.60781509791511,False,3.13544488,0.0,-3.2906597,-0.3436048449999997,AB,TbZn,False,False,True,True,2,2,0,0,NM,False,0.0006168,0.0006168,1.364130052657944e-05,-3.2906597,45.21563019583022
Zn,mp-894,0.0,Pt-Zn,15.229981029964447,14.20089763161194,False,5.60020711,0.0,-4.230722105,-0.5652836399999996,AB,ZnPt,False,False,True,True,2,4,0,0,NM,False,0.0,0.0,0.0,-4.230722105,56.80359052644776
Zn,mp-902,0.0,Ba-Zn,4.96220051680564,33.92154821898781,False,2.03751215,0.0035235766666665,-1.756738055,-0.1673787799999999,AB,BaZn,False,False,True,False,2,2,0,0,NM,False,5e-07,5e-07,7.369946630562718e-09,-1.756738055,67.84309643797562
Zn,mp-948,0.0,Te-Zn,6.671808985491392,24.01889692903086,False,4.79307776,0.288552085,-2.5971357,-0.3956109483333332,AB,ZnTe,False,False,True,False,2,2,0,0,NM,False,1.3e-06,1.3e-06,2.7062025451067497e-08,-2.3861357,48.03779385806172
Zn,mp-950,0.0,Na-Zn,6.5948160046293784,15.706709270884678,False,2.3445224,0.0,-1.3179227989285711,-0.0536947829679803,AB13,NaZn13,False,False,True,True,2,28,0,0,NM,False,3.2e-06,1.6e-06,7.276235417278921e-09,-1.3179227989285711,439.787859584771
Zn,mp-953,0.0,Nb-Zn,8.031979041751773,14.943928216581526,False,3.48810935,0.0,-3.6339680825,-0.1638341150000002,AB3,NbZn3,False,False,True,True,2,4,0,0,NM,False,2e-06,2e-06,3.3458404828605154e-08,-3.6339680825,59.7757128663261
Zn,mp-962,0.0,Sm-Zn,7.576245751584808,20.542586613375835,False,2.91549876,0.0,-2.7910240833333333,-0.3783329650000002,AB2,SmZn2,False,False,True,True,2,6,0,0,NM,False,0.0,0.0,0.0,-2.7910240833333333,123.255519680255
Zn,mp-986,0.0,Ce-Zn,7.153397207635782,23.854560410728244,False,5.9029304,0.02835257625,-3.78994466,-0.1935282775,AB,CeZn,False,True,True,False,2,2,1,1,FM,False,0.3935102,0.3935102,0.0082481125877931,-3.78994466,47.70912082145649
Zn,mp-987,0.0,Cu-Zn,8.595904802600606,12.455629759220846,False,6.86618734,0.0,-2.77023017,-0.0907550299999999,AB,ZnCu,False,False,True,True,2,2,0,0,NM,False,0.0,0.0,0.0,-2.77023017,24.911259518441693
