id,cathode,anode,polymer,ionic_liquid,intristic_viscosity,ionic_liquid_electrolyte,li_conc,temperature,pressure,thickness,bms_rawfile,polymer_percentage,cathode_active_material,charge_rate,li_metal_thickness,magnetic_field_direction,remark
1,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,28,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_0.5C_PBDT_15_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_28C_0.7T_110um.xlsx,15,11,0.5C,180,No,
2,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,25,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_0.5C_PBDT_10_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_RT_0.7T_110um.csv,10,11,0.5C,180,No,
3,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,50,0.7,100,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_5_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0.7T_100um.csv,5,11,1C,180,No,
4,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,50,0.7,100,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_5_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0.7T_100um_vertical.csv,5,11,1C,180,vertical,
5,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,80,0.7,100,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_5_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_80C_0.7T_100um_vertical.csv,5,11,1C,180,vertical,
6,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,80,0.7,100,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_5_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_80C_0.7T_100um_vertical_2nd_sample.csv,5,11,1C,180,vertical,2nd sample
7,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,25,0.7,80,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_5_lmw_C2mimTfO_C2mimFSI_LiFSI_3.4_RT_0.7T_80um_horizontal.csv,5,11,1C,180,horizontal,
8,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,25,0.7,95,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_5_lmw_C2mimTfO_C2mimFSI_LiFSI_3.4_RT_0.7T_95um_vertical.csv,5,11,1C,180,vertical,
9,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,25,0.7,135,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_5_lmw_C2mimTfO_C2mimFSI_LiFSI_3.4_RT_0.7T__52N7zYP.csv,5,11,1C,180,No,dried
11,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,25,0.7,135,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_5_lmw_C2mimTfO_C2mimFSI_LiFSI_3.4_RT_0.7T__zAcqneO.csv,5,11,1C,180,No,undried
13,LFP,Li,PBDT,C2mim-TfO,30,C3mpyrFSI-LiFSI,3.2,50,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_10_hmw_C2mimTfO_C3mpyrFSI_LiFSI_3.2_50C_0.7T_110um.csv,10,11,1C,180,No,
14,LFP,Li,PBDT,C2mim-TfO,30,C3mpyrFSI-LiFSI,3.2,80,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_10_hmw_C2mimTfO_C3mpyrFSI_LiFSI_3.2_80C_0.7T_110um.csv,10,11,1C,180,No,
15,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,50,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_15_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0.7_eIQsHD8.csv,15,11,1C,180,vertical,
16,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,80,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_1C_PBDT_15_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_80C_0.7_G40qaCp.csv,15,11,1C,180,vertical,
17,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,50,0.7,75,battery_manage_system/LFP_11mgcm-2_Li_2C_PBDT_5_lmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0.7T_75um.csv,5,11,2C,180,No,
18,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,50,0.7,95,battery_manage_system/LFP_11mgcm-2_Li_2C_PBDT_5_lmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0.7T_IXpXzaf.csv,5,11,2C,180,vertical,
19,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,50,0.7,100,battery_manage_system/LFP_11mgcm-2_Li_2C_PBDT_5_lmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0.7T_100um.csv,5,11,2C,180,No,
20,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,80,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_2C_PBDT_10_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_80C_0.7_McZljvu.csv,10,11,2C,180,vertical,
21,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,80,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_3C_PBDT_10_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_80C_0.7T_110um.csv,10,11,3C,180,No,
22,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,50,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_50um_1C_PBDT_10_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50_fIJ84VV.csv,10,11,1C,50,No,
23,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,80,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_50um_1C_PBDT_10_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_80_Z7z7KmF.csv,10,11,1C,50,No,
24,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,50,0.7,80,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0._FDD2YEc.csv,5,11,rate,180,horizontal,
25,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,50,0.7,80,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0._pHKbRyN.csv,5,11,rate,180,vertical,
26,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,50,0.7,100,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0._7nppIN6.csv,5,11,rate,180,vertical,
27,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,80,0.7,100,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_80C_0._mulilAa.csv,5,11,rate,180,vertical,
28,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,50,0.7,75,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_lmw_C2mimFSI_C2mimFSI_LiFSI_3.4_50C_0.7T_75um.csv,5,11,rate,180,No,
29,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,25,0.7,80,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_lmw_C2mimFSI_C2mimFSI_LiFSI_3.4_RT_0.7T_80um.csv,5,11,rate,180,No,
30,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,25,0.7,80,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_lmw_C2mimFSI_C2mimFSI_LiFSI_3.4_RT_0.7_iD7bY0y.csv,5,11,rate,180,vertical,
31,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,25,0.7,95,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_lmw_C2mimTfO_C2mimFSI_LiFSI_3.4_RT_0.7_281HtkD.csv,5,11,rate,180,vertical,
33,LFP,Li,PBDT,C2mim-TfO,15,C3mpyrFSI-LiFSI,1.6,50,0.7,61,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_lmw_C2mimTfO_C3mpyrFSI_LiFSI_1.6_50C_0.7T_61um.csv,5,11,rate,180,No,
34,LFP,Li,PBDT,C2mim-TfO,15,C3mpyrFSI-LiFSI,1.6,50,0.7,125,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_lmw_C2mimTfO_C3mpyrFSI_LiFSI_1.6_50C_0_p6HkD8V.csv,5,11,rate,180,No,
35,LFP,Li,PBDT,C2mim-TfO,15,C3mpyrFSI-LiFSI,3.2,50,0.7,80,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_lmw_C2mimTfO_C3mpyrFSI_LiFSI_3.2_50C_0_xnCi5MH.csv,5,11,rate,180,horizontal,
36,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.2,50,0.7,80,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_lmw_C2mimTfO_C3mpyrFSI_LiFSI_3.2_50C_0_sfZj7cg.csv,5,11,rate,180,vertical,
38,LFP,Li,PBDT,C2mim-TfO,15,C3mpyrFSI-LiFSI,3.2,50,0.7,125,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_5_lmw_C2mimTfO_C3mpyrFSI_LiFSI_3.2_50C_0_KKgAQmy.csv,5,11,rate,180,No,
39,LFP,Li,PBDT,C2mim-TfO,15,C3mpyrFSI-LiFSI,4.8,50,0.7,0,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_8_lmw_C2mimTfO_C3mpyrFSI_LiFSI_4.8_50C_0.7T_xxum.csv,8,11,rate,180,No,
40,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,50,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_10_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0_CYehaoV.csv,10,11,rate,180,vertical,
41,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,80,0.7,110,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_10_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_80C_0_5Y4y4Ye.csv,10,11,rate,180,vertical,
42,LFP,Li,PBDT,C2mim-TfO,30,C2mimFSI-LiFSI,3.4,50,0.7,120,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_15_hmw_C2mimTfO_C2mimFSI_LiFSI_3.4_50C_0_gg20waJ.csv,15,11,rate,180,vertical,
43,LFP,Li,PBDT,C2mim-TfO,15,C2mimFSI-LiFSI,3.4,25,0.7,0,battery_manage_system/LFP_11mgcm-2_Li_rate_PBDT_20_lmw_C2mimTfO_C2mimFSI_LiFSI_3.4_RT_0.7T_xxum.csv,20,11,rate,180,No,
