id,Name,SMILES,Anion_type,Energy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Thermal_correction_to_Enthalpy_Hatree,Entropy_J_per_mol_K,HOMO_Hatree,LUMO_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV,Software,Source,Theory_Level
1,a-c1+a-b1,CCCCCCCCc1cccc([B-](F)(F)F)c1,fluoroborate,-870.7029391,0.266884,0.338677,632.2024,-0.10432,0.10829,14.6438,-870.4360551,-870.3642621,5.782991999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
2,a-c1+a-b3,CC(F)(F)S(=O)(=O)c1cccc([B-](F)(F)F)c1,fluoroborate,-1381.9723738,0.099663,0.164218,568.467528,-0.1376,0.06605,11.2622,-1381.8727108,-1381.8081558,5.53928,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
3,a-c1+a-b4,F[B-](F)(F)c1cccc(CCCC(F)(F)C(F)(F)F)c1,fluoroborate,-1249.0439956,0.146421,0.217594,626.7422799999999,-0.11284,0.11629,16.1342,-1248.8975746,-1248.8264016,6.232336,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
4,a-c1+a-b5,O=C(c1cccc([B-](F)(F)F)c1)C(F)(F)F,fluoroborate,-1006.6508818,0.068067,0.127339,521.941448,-0.13372,0.02918,10.7502,-1006.5828148,-1006.5235428,4.43088,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
5,a-c1+a-b6,F[B-](F)(F)c1cccc(-c2ccncc2)c1,fluoroborate,-803.336911,0.122942,0.179258,495.9211520000001,-0.11924,0.05331,9.5279,-803.213969,-803.157653,4.69336,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
6,a-c1+a-b7,Oc1ccccc1-c1cccc([B-](F)(F)F)c1,fluoroborate,-862.5248121,0.1371,0.196016,518.816,-0.11376,0.07457,10.9987,-862.3877120999999,-862.3287961,5.122576,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
7,a-c1+a-b8,O=C(O)c1cccc([B-](F)(F)F)c1,fluoroborate,-744.8430905,0.07301,0.125122,458.896936,-0.12928,0.06947,8.3221,-744.7700805000001,-744.7179685,5.406,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
8,a-c1+a-b9,O=C(CF)c1cccc([B-](F)(F)F)c1,fluoroborate,-808.137097,0.085421,0.141479,493.64924,-0.12372,0.04588,9.9914,-808.051676,-807.995618,4.61312,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
9,a-c1+a-b10,CCCCCCCCCCc1cccc([B-](F)(F)F)c1,fluoroborate,-949.3119856,0.318402,0.39665,689.0504080000001,-0.10563,0.09297,21.0638,-948.9935836,-948.9153355999999,5.40192,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
10,a-c1+a-b13,CCCCCCc1cccc([B-](F)(F)F)c1,fluoroborate,-792.0937439,0.215484,0.280711,574.3837040000001,-0.10496,0.11251,14.0771,-791.8782599000001,-791.8130329,5.915184,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
