id,Name,SMILES,Cation_type,Energy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Thermal_correction_to_Enthalpy_Hatree,Entropy_J_per_mol_K,HOMO_Hatree,LUMO_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV,Software,Source,Theory_Level
96,c-c19+c-b37+c-b39+c-b81,CCCC[P+](CCCC)(CCOC)CCC(C)O,tetraphosphonium ,-1083.5363938,0.408755,0.48816,699.234264,-0.3815,-0.10679,3.3363,-1083.1276388,-1083.0482338,7.472112,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
97,c-c19+c-b30+c-b37+c-b47,CCCCC[P+](CCCC)(CCC(C)O)CC(C)(C)C,tetraphosphonium ,-1126.2453824,0.480562,0.568001,769.985704,-0.37826,-0.10754,3.4013,-1125.7648204,-1125.6773814,7.363583999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
98,c-c19+c-b4+c-b39+c-b81,CCCC[P+](CCCC)(CCCO)CCOC,tetraphosphonium ,-1044.2303497,0.381953,0.460128,688.41444,-0.39812,-0.10383,3.0063,-1043.8483967,-1043.7702217,8.004687999999998,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
99,c-c19+c-b7+c-b10+c-b13,CCCC[P+](CCC)(CCCC#N)CCCC(C)CC,tetraphosphonium ,-1103.9448887,0.448714,0.535502,764.24944,-0.42462,-0.12588,4.612,-1103.4961747,-1103.4093867,8.125728,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
100,c-c19+c-b7+c-b10+c-b58,CCCC[P+](CCC)(CCCC(C)CC)CCC(=O)O,tetraphosphonium ,-1160.981731,0.437596,0.52346,756.11156,-0.40956,-0.13865,1.1741,-1160.544135,-1160.458271,7.368752,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
101,c-c19+c-b13+c-b30+c-b43,CCCCC[P+](CCC#N)(CCCC)CCCC#N,tetraphosphonium ,-1078.2629253,0.368987,0.44953,709.259128,-0.43815,-0.13759,4.612,-1077.8939383,-1077.8133953,8.175232,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
102,c-c19+c-b10+c-b28+c-b60,C=CCCC[P+](CCC)(CCC=C)CCCC,tetraphosphonium ,-969.9476427,0.382514,0.459221,675.4816959999999,-0.3677,-0.12361,3.9498,-969.5651287,-969.4884217,6.639248,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
103,c-c19+c-b10+c-b45+c-b46,CCCC[P+](CCC)(CC(=O)O)Cc1ccc(C)cc1,tetraphosphonium ,-1156.1798317,0.351637,0.432141,708.9160400000001,-0.35522,-0.14487,4.5689,-1155.8281947,-1155.7476907,5.721519999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
104,c-c19+c-b16+c-b37+c-b43,CCCC[P+](CCC#N)(CCCCC#N)CCC(C)O,tetraphosphonium ,-1153.4941494,0.37319,0.455247,722.5851680000001,-0.39673,-0.12975,5.9719,-1153.1209594,-1153.0389024,7.261856,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
105,c-c19+c-b39+c-b73+c-b81,CCCC[P+](CCCC)(CCOC)CCC(C)C,tetraphosphonium ,-1047.6213476,0.430055,0.511066,713.3761840000001,-0.39578,-0.10824,3.2485,-1047.1912926,-1047.1102816,7.821088,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
106,c-c19+c-b8+c-b38+c-b81,C#CCC[P+](CCC#CC)(CCCC)CCCC,tetraphosphonium ,-1006.7783561,0.361239,0.442017,711.3302080000001,-0.38225,-0.11717,1.4253,-1006.4171171,-1006.3363391,7.210176,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
107,c-c19+c-b10+c-b47+c-b83,CCCCCCC[P+](CCC)(CCCC)CC(C)(C)C,tetraphosphonium ,-1090.3273005,0.50352,0.591646,776.0357680000001,-0.40815,-0.10827,4.3409,-1089.8237805,-1089.7356545,8.156736,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
108,c-c19+c-b10+c-b60+c-b70,C=CCC[P+](CCC)(CCCC)CCCCS(=O)(=O)O,tetraphosphonium ,-1555.6983635,0.386074,0.472609,762.023552,-0.39199,-0.12858,9.3258,-1555.3122895,-1555.2257545,7.164752000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
109,c-c19+c-b38+c-b58+c-b79,C#CCC[P+](CCCC)(CCCCO)CCC(=O)O,tetraphosphonium ,-1155.114392,0.344869,0.425337,708.593872,-0.38125,-0.13175,2.1151,-1154.769523,-1154.689055,6.786399999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
110,c-c19+c-b10+c-b13+c-b31,CCCC[P+](CCC)(CCCC#N)CCCC(F)(F)F,tetraphosphonium ,-1283.7874937,0.347647,0.42901,716.480712,-0.45102,-0.12888,10.2058,-1283.4398467,-1283.3584837,8.762208,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
111,c-c19+c-b28+c-b39+c-b81,C=CCCC[P+](CCCC)(CCCC)CCOC,tetraphosphonium ,-1046.3914787,0.406061,0.488209,723.388496,-0.35934,-0.10636,2.951,-1045.9854177,-1045.9032697,6.881055999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
112,c-c19+c-b28+c-b40+c-b79,C=CCCC[P+](CCCC)(CCCCO)CN(C)C,tetraphosphonium ,-1101.7226845,0.421996,0.505988,739.6266,-0.35891,-0.11024,3.3177,-1101.3006885,-1101.2166965,6.763824,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
113,c-c19+c-b7+c-b10+c-b73,CCCC[P+](CCC)(CCCC(C)CC)CCC(C)C,tetraphosphonium ,-1090.3274181,0.50008,0.591542,805.4116319999999,-0.40906,-0.10544,4.3823,-1089.8273381,-1089.7358761,8.258464,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
114,c-c19+c-b29+c-b30+c-b45,CCCCC[P+](CCCC)(CC(=O)O)CC(C)C,tetraphosphonium ,-1082.3701279,0.385364,0.465066,701.8534480000001,-0.42285,-0.15395,2.8788,-1081.9847639,-1081.9050619,7.314080000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
115,c-c19+c-b10+c-b13+c-b72,CCCC[P+](CCC)(CCCC#N)CCC(C)CC,tetraphosphonium ,-1064.6466289,0.422008,0.506218,741.5470560000001,-0.41946,-0.12531,6.3954,-1064.2246209,-1064.1404109,8.00088,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
116,c-c19+c-b30+c-b78+c-b81,CCCCCC[P+](CCCC)(CCCC)CCCCC,tetraphosphonium ,-1090.3224517,0.504504,0.592867,778.1194,-0.4192,-0.111,3.8861,-1089.8179477,-1089.7295847,8.383040000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
117,c-c19+c-b16+c-b38+c-b39,C#CCC[P+](CCCC)(CCCCC#N)CCOC,tetraphosphonium ,-1098.0838749,0.355992,0.437148,714.6523040000001,-0.39161,-0.11028,4.7069,-1097.7278829,-1097.6467269,7.652176000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
118,c-c19+c-b40+c-b76+c-b81,CCCC[P+](CCCC)(COC)CN(C)C,tetraphosphonium ,-985.019503,0.365173,0.441397,671.230752,-0.35358,-0.12061,2.5504,-984.65433,-984.5781059999999,6.336784,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
119,c-c19+c-b4+c-b10+c-b65,CCC#CCC[P+](CCC)(CCCC)CCCO,tetraphosphonium ,-1045.1630014,0.385199,0.46584,710.125216,-0.38349,-0.11818,4.3624,-1044.7778024,-1044.6971614,7.216431999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
120,c-c19+c-b3+c-b30+c-b38,C#CCC[P+](CCCC)(CCCCC)CC1CCCC1,tetraphosphonium ,-1086.6492537,0.44067,0.524683,739.819064,-0.39887,-0.11351,2.9135,-1086.2085837,-1086.1245707,7.761792,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
121,c-c19+c-b60+c-b78+c-b79,C=CCC[P+](CCCC)(CCCCO)CCCCCC,tetraphosphonium ,-1125.0125253,0.46132,0.547311,757.2412400000001,-0.38085,-0.11691,3.3211,-1124.5512053,-1124.4652143,7.179168,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
122,c-c19+c-b4+c-b45+c-b76,CCCC[P+](CCCO)(COC)CC(=O)O,tetraphosphonium ,-1075.5732249,0.287804,0.361195,646.277376,-0.40119,-0.1414,2.8113,-1075.2854209,-1075.2120299,7.066287999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
123,c-c124+c-b60,C=CCCC[P+](CCCC)(CCCC)CCCC,tetraphosphonium ,-1010.4827733,0.430681,0.511519,711.861576,-0.36642,-0.11337,2.7822,-1010.0520923,-1009.9712543,6.88296,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
124,c-c19+c-b10+c-b24+c-b81,CCCC[P+](CCC)(CCCC)Cc1ccccc1C,tetraphosphonium ,-1085.5220594,0.416773,0.50176,748.3962640000001,-0.36312,-0.13839,4.0426,-1085.1052864,-1085.0202994,6.112655999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
125,c-c19+c-b30+c-b44+c-b80,CCCCC[P+](CCCC)(CCCC(C)C)CC(C)C,tetraphosphonium ,-1090.3274826,0.503642,0.591801,776.324464,-0.4238,-0.1099,3.4411,-1089.8238406,-1089.7356816,8.53808,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
126,c-c19+c-b28+c-b36+c-b76,C=CCCC[P+](CCCC)(COC)Cc1ccccc1,tetraphosphonium ,-1120.1756614,0.374024,0.45537,716.334272,-0.35702,-0.13626,4.2172,-1119.8016374,-1119.7202914,6.004672,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
127,c-c19+c-b11+c-b38+c-b43,C#CCC[P+](CCC#N)(CCCC)CC(F)(F)F,tetraphosphonium ,-1202.6879102,0.248959,0.323592,657.2227200000001,-0.4143,-0.14812,5.9345,-1202.4389512,-1202.3643182,7.240095999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
128,c-c19+c-b6+c-b78+c-b81,CCCCCC[P+](CCCC)(CCCC)CCCN,tetraphosphonium ,-1067.0631305,0.469356,0.553614,741.9780079999999,-0.35897,-0.10961,3.3012,-1066.5937745,-1066.5095165,6.782592,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
129,c-c19+c-b10+c-b11+c-b30,CCCCC[P+](CCC)(CCCC)CC(F)(F)F,tetraphosphonium ,-1191.5377468,0.347247,0.427358,705.455872,-0.43405,-0.12881,5.4024,-1191.1904998,-1191.1103888,8.302527999999999,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
130,c-c19+c-b38+c-b45+c-b47,C#CCC[P+](CCCC)(CC(=O)O)CC(C)(C)C,tetraphosphonium ,-1079.8982603,0.3405,0.417555,678.5402,-0.39937,-0.14689,2.4318,-1079.5577603,-1079.4807053,6.867456000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
131,c-c19+c-b4+c-b38+c-b76,C#CCC[P+](CCCC)(CCCO)COC,tetraphosphonium ,-1002.4394809,0.308771,0.384084,663.201656,-0.38929,-0.11433,0.9616,-1002.1307099,-1002.0553969,7.478912000000001,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
132,c-c19+c-b4+c-b10+c-b24,CCCC[P+](CCC)(CCCO)Cc1ccccc1C,tetraphosphonium ,-1121.4383301,0.39927,0.47904,702.460128,-0.35735,-0.13526,3.8003,-1121.0390601,-1120.9592901,6.040848,Gaussian,QC,"opt+freq: b3lyp/6-311G** em=gd3bj
energy: M062X/6-311G+(2d, p) em=gd3"
