id,Name,SMILES,Neutral_Energy_Hatree,Oxidation_Energy_Hatree,Reduction_Energy_Hatree,HOMO_eV,LUMO_eV,Inner_energy_correction_Hatree,Thermal_correction_to_Enthalpy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Entropy_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV,Oxidation_Potential_V,Reduction_Potential_V,Redox_Window_V,Monomer_Type,IP_Hatree,EA_Hatree,Mulliken_Electronegativity_Hatree,Chemical_Potential_Hatree,Hardness_Hatree,Softness_Hatree,Electrophilicity_Index_Hatree,Corrected_Redox_Window_V,Acetone_Gibbs_Free_Energy_Hatree,Acetone_Solvation_Free_Energy_kJ_per_mol,Chloroform_Gibbs_Free_Energy_Hatree,Chloroform_Solvation_Free_Energy_kJ_per_mol,DMF_Gibbs_Free_Energy_Hatree,DMF_Solvation_Free_Energy_kJ_per_mol,DMSO_Gibbs_Free_Energy_Hatree,DMSO_Solvation_Free_Energy_kJ_per_mol,Hexane_Gibbs_Free_Energy_Hatree,Hexane_Solvation_Free_Energy_kJ_per_mol,Water_Gibbs_Free_Energy_Hatree,Water_Solvation_Free_Energy_kJ_per_mol,THF_Gibbs_Free_Energy_Hatree,THF_Solvation_Free_Energy_kJ_per_mol,Software,Source,Theory_Level
10520,OMG_monomer_1,O=C(O)c1cnn(Cc2ccccc2Br)c1Br,-5832.000217,-5831.662044,-5831.979409,-9.4666,0.8784,0.18992554,0.00094421,0.13143442,0.05943533,4.888612118,-5831.868782,-5831.809347,10.345,4.758286418,-5.005956697,9.764243115,Dibromide,0.338172295,-0.020807231,0.158682532,-0.158682532,0.358979526,2.785674187,0.035071841,4.958891381,-5831.9007,-83.8009982,-5831.898754,-78.69170056,-5831.899119,-79.64980218,-5831.896832,-73.64505393,-5831.891818,-60.48035856,-5831.893447,-64.75635968,-5831.898205,-77.24829134,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10521,OMG_monomer_2,O=C(O)Cc1cc(Br)sc1Br,-5927.739579,-5927.413871,-5927.73301,-9.1788,0.4798,0.1011956,0.00094421,0.05077786,0.05136195,3.783100436,-5927.688801,-5927.637439,9.6586,4.419275319,-4.61868363,9.037958949,Dibromide,0.325708651,-0.006569251,0.1595697,-0.1595697,0.332277903,3.009529049,0.03831505,3.775151103,-5927.70947,-54.26432325,-5927.70752,-49.14558129,-5927.709017,-53.07676245,-5927.707521,-49.1493932,-5927.705224,-43.1170305,-5927.701387,-33.04405942,-5927.708528,-51.79106458,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10522,OMG_monomer_3,O=C(NC(CO)C(=O)O)c1cc(Br)ccc1Br,-5890.254322,-5889.91782,-5890.257427,-9.4238,0.2816,0.20052545,0.00094421,0.13876146,0.0627082,3.931722945,-5890.115561,-5890.052853,9.7054,4.712865251,-4.355559339,9.068424589,Hydroxy acid,0.336502399,0.003104436,0.169803418,-0.169803418,0.333397963,2.999418447,0.043241417,3.894459135,-5890.146058,-80.06985754,-5890.143643,-73.72992879,-5890.145084,-77.51432403,-5890.143114,-72.34086404,-5890.138322,-59.76009566,-5890.141014,-66.82656785,-5890.144072,-74.85681736,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10523,OMG_monomer_4,O=C(O)C(Cc1ccc(Br)cc1)Cc1ccc(Br)cc1,-5916.643397,-5916.315792,-5916.618688,-9.2075,0.8109,0.27981044,0.00094421,0.21343178,0.06732287,2.233701301,-5916.429966,-5916.362643,10.0184,4.470851543,-5.11208824,9.582939783,Dibromide,0.327604836,-0.024709126,0.151447855,-0.151447855,0.352313963,2.838377431,0.032551155,4.478398004,-5916.464967,-91.89741281,-5916.464,-89.35748401,-5916.462898,-86.46320904,-5916.459895,-78.57924936,-5916.457386,,-5916.451924,-57.65163642,-5916.462609,-85.70435332,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10524,OMG_monomer_5,O=C(O)C(Cc1cccc(Br)c1)Cc1cccc(Br)c1,-5916.642876,-5916.319349,-5916.619955,-9.136,0.8971,0.27973873,0.00094421,0.21502663,0.06565632,2.568370573,-5916.427849,-5916.362193,10.0331,4.359934694,-5.063444813,9.423379507,Dibromide,0.323527011,-0.022920765,0.150303123,-0.150303123,0.346447776,2.886437926,0.032603801,4.560069647,-5916.464351,-95.83614724,-5916.462659,-91.39392218,-5916.46258,-91.18500901,-5916.459968,-84.3285915,-5916.454718,,-5916.453586,-67.57249898,-5916.461573,-88.54137087,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10525,OMG_monomer_6,CCc1c(C(=O)O)ccc(Br)c1Br,-5646.290472,-5645.954918,-5646.297507,-9.4503,0.1273,0.16435224,0.00094421,0.11139753,0.05389891,1.955379541,-5646.179075,-5646.125176,9.5776,4.68706956,-4.248655033,8.935724593,Dibromide,0.335554028,0.007034741,0.171294385,-0.171294385,0.328519287,3.043961317,0.044657601,3.903908587,-5646.196853,-46.67760903,-5646.19727,-47.77070866,-5646.195359,-42.75506425,-5646.193397,-37.60239856,-5646.194674,-40.95652385,-5646.188657,-25.15661616,-5646.195835,-44.00355631,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10526,OMG_monomer_7,CCc1c(Br)cc(C=CC(=O)O)cc1Br,-5723.691521,-5723.369377,-5723.720003,-9.2006,-0.4552,0.20006346,0.00094421,0.14137377,0.05963391,2.339742596,-5723.550147,-5723.490513,8.7454,4.322320336,-3.665281921,7.987602257,Vinyl,0.32214413,0.028482282,0.175313206,-0.175313206,0.293661848,3.405277219,0.052330121,3.002754711,-5723.57344,-61.15438702,-5723.573317,-60.83293296,-5723.571775,-56.78372878,-5723.569441,-50.65514998,-5723.569696,-51.32522307,-5723.563367,-34.70970927,-5723.572078,-57.57888842,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10527,OMG_monomer_8,CCc1ccc(C(=O)O)c(Br)c1Br,-5646.285493,-5645.953227,-5646.285426,-9.344,0.3241,0.16398664,0.00094421,0.11076659,0.05416425,3.602863274,-5646.174726,-5646.120562,9.6681,4.597622591,-4.441811372,9.039433963,Dibromide,0.332265536,-6.66e-05,0.166099471,-0.166099471,0.332332131,3.009037967,0.041508226,4.135921962,-5646.195034,-53.31905803,-5646.194691,-52.41824703,-5646.193706,-49.83074802,-5646.191769,-44.74747256,-5646.191445,-43.89559313,-5646.18638,-30.5972086,-5646.193771,-50.00336777,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10528,OMG_monomer_9,CCc1c(Br)ccc(C(=O)O)c1Br,-5646.288448,-5645.952132,-5646.291677,-9.4468,0.2406,0.16418266,0.00094421,0.11096559,0.05416128,1.768188131,-5646.177482,-5646.123321,9.6874,4.707786649,-4.352155199,9.059941848,Dibromide,0.336315686,0.003229588,0.169772637,-0.169772637,0.333086097,3.002226775,0.043266213,3.689371665,-5646.196459,-49.82265191,-5646.196459,-49.82408265,-5646.195082,-46.20810023,-5646.193148,-41.13120103,-5646.193654,-42.45998734,-5646.187796,-27.07938378,-5646.195365,-46.95115233,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10529,OMG_monomer_10,CCc1ccc(CC(=O)O)c(Br)c1Br,-5685.596177,-5685.269653,-5685.572397,-9.2798,0.9946,0.19396352,0.00094421,0.13749955,0.05740818,1.342966735,-5685.458678,-5685.40127,10.2744,4.441473932,-5.086818345,9.528292277,Dibromide,0.326524777,-0.023780086,0.151372345,-0.151372345,0.350304863,2.854656345,0.032705208,4.461765864,-5685.480722,-57.87554241,-5685.480384,-56.9880522,-5685.479276,-54.07891261,-5685.477188,-48.599363,-5685.47679,-47.55242556,-5685.47141,-33.42902805,-5685.479358,-54.29445667,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10530,OMG_monomer_11,CCc1c(Br)cc(Br)cc1C(O)C(=O)O,-5760.828703,-5760.500747,-5760.819242,-9.2712,0.6125,0.19963832,0.00094421,0.14079626,0.05978628,1.152703589,-5760.687907,-5760.628121,9.8837,4.480410907,-4.697343772,9.177754679,Hydroxy acid,0.327956283,-0.009461168,0.159247558,-0.159247558,0.337417451,2.963687846,0.037579243,4.084860602,-5760.712883,-65.57452067,-5760.712854,-65.49785862,-5760.711226,-61.22486103,-5760.709247,-56.02881484,-5760.707284,-50.87357508,-5760.708087,-52.98239123,-5760.710912,-60.40082006,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10531,OMG_monomer_12,O=C(O)c1cc(Br)cc(C(=O)O)c1Br,-5756.279753,-5755.929014,-5756.303418,-9.7967,-0.3437,0.12203897,0.00094421,0.06822467,0.05475851,4.66897038,-5756.211528,-5756.15677,9.453,5.100080508,-3.796292102,8.896372609,Dicarboxylic acid,0.350738254,0.023665732,0.187201993,-0.187201993,0.327072522,3.057425896,0.053573113,3.947740369,-5756.235665,-63.37181288,-5756.232795,-55.83660525,-5756.235405,-62.6884647,-5756.233974,-58.93292602,-5756.229943,-48.34820083,-5756.228658,-44.97421195,-5756.234474,-60.24405866,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10532,OMG_monomer_13,NC(Cc1cc(Br)cc(Br)c1)C(=O)O,-5701.649928,-5701.315934,-5701.629227,-9.375,0.922,0.18299312,0.00094421,0.12676009,0.05717724,1.659947036,-5701.523168,-5701.465991,10.297,4.644647702,-5.003075131,9.647722833,Dibromide,0.333994401,-0.020701292,0.156646555,-0.156646555,0.354695692,2.819318141,0.034590416,4.753854387,-5701.550932,-72.89475304,-5701.549581,-69.34857618,-5701.549529,-69.21188172,-5701.547556,-64.03064133,-5701.543344,-52.97119495,-5701.545802,-59.42633002,-5701.548721,-67.08981551,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10533,OMG_monomer_14,CCC(=Cc1cc(Br)c(Br)o1)C(=O)O,-5721.481285,-5721.184717,-5721.505647,-8.4732,-0.3165,0.1690337,0.00094421,0.11207278,0.05790513,0.724114914,-5721.369212,-5721.311307,8.1567,3.626635321,-3.777346608,7.40398193,Vinyl,0.296567475,0.024362257,0.160464866,-0.160464866,0.272205218,3.673698864,0.047296987,2.395953899,-5721.388367,-50.29024002,-5721.388284,-50.07389612,-5721.386919,-46.48862907,-5721.384839,-41.02918127,-5721.38584,-43.65738625,-5721.379163,-26.12576292,-5721.387322,-47.54797079,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10534,OMG_monomer_15,O=C(O)C=CC(=O)Nc1ccc(Br)cc1Br,-5813.785252,-5813.455787,-5813.810463,-9.3309,-0.4303,0.17011632,0.00094421,0.11027907,0.06078147,4.650587069,-5813.674973,-5813.614192,8.9006,4.521472487,-3.754268931,8.275741418,Vinyl,0.3294659,0.025210701,0.177338301,-0.177338301,0.304255199,3.286714582,0.051681735,3.305758794,-5813.710692,-93.77826378,-5813.707224,-84.67428841,-5813.709741,-91.2814229,-5813.707795,-86.17360634,-5813.699816,-65.22541594,-5813.704279,-76.94077374,-5813.708009,-86.7346522,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10535,OMG_monomer_16,O=C(O)CC(C(=O)O)c1cc(Br)cc(Br)c1,-5834.896671,-5834.559545,-5834.88659,-9.4664,0.6201,0.18209118,0.00094421,0.12151531,0.06152009,3.829542135,-5834.775156,-5834.713636,10.0865,4.729832587,-4.714201798,9.444034385,Dicarboxylic acid,0.337126198,-0.010080948,0.163522625,-0.163522625,0.347207147,2.880125049,0.038506766,4.166942882,-5834.813091,-99.59752392,-5834.809464,-90.07530234,-5834.812277,-97.46124373,-5834.810583,-93.01439219,-5834.800624,-66.86485651,-5834.808991,-88.83371687,-5834.809969,-91.40256882,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10536,OMG_monomer_17,O=C(O)c1cc(Br)c(S(=O)(=O)F)c(Br)c1,-6215.584374,-6215.220463,-6215.63492,-10.1526,-1.0546,0.11134843,0.00094421,0.054982,0.05731065,2.654774467,-6215.529392,-6215.472082,9.098,5.458374536,-3.065166095,8.523540631,Dibromide,0.363910829,0.050545364,0.207228096,-0.207228096,0.313365464,3.191162121,0.06851981,3.775912419,-6215.557103,-72.75415917,-6215.552916,-61.76155604,-6215.557019,-72.53393445,-6215.555684,-69.02911113,-6215.548578,-50.37110463,-6215.551994,-59.34127414,-6215.555296,-68.00962046,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10537,OMG_monomer_18,O=C(O)c1cc(Br)cc(Br)c1F,-5666.931686,-5666.583092,-5666.945106,-9.7343,-0.0911,0.09745788,0.00094421,0.04746456,0.05093753,4.186731085,-5666.884222,-5666.833284,9.6432,5.041767918,-4.074983387,9.116751304,Dibromide,0.348594409,0.013419728,0.181007069,-0.181007069,0.33517468,2.983518919,0.048875349,4.191435447,-5666.908228,-63.02931243,-5666.906823,-59.33889231,-5666.907188,-60.29803535,-5666.905637,-56.22663947,-5666.901809,-46.17632857,-5666.902668,-48.43183467,-5666.906381,-58.17890579,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
