id,Name,reactant_1,reactant_2,psmiles,SMILES,Energy_Hatree,es,reaction_type,Isotropic_Polarizability_au,HOMO_eV,LUMO_eV,Inner_energy_correction_Hatree,Thermal_correction_to_Enthalpy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Entropy_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV,Software,Source,Theory_Level
1,OMG_polymer_189323,O=C(O)Cc1c2ccccc2c(CC(=O)O)c2ccccc12,Nc1ccc(Nc2ccc(N)cc2S(=O)(=O)O)cc1,*Nc1ccc(Nc2ccc(NC(=O)Cc3c4ccccc4c(CC(*)=O)c4ccccc34)cc2S(=O)(=O)O)cc1,Nc1ccc(Nc2ccc(NC(=O)Cc3c4ccccc4c(CC=O)c4ccccc34)cc2S(=O)(=O)O)cc1,0.0,0.952904,Polyamidation,0.0,0.0,0.0,0.53095992,0.00094421,0.436205,0.09569914,4.838042051,0.436205,0.53190413,0.0,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
2,OMG_polymer_169676,O=C(O)c1ccccc1C(=O)NC(C(=O)O)c1ccccc1,Nc1ccc(F)c(C(=O)O)c1N,*Nc1ccc(F)c(C(=O)O)c1NC(=O)c1ccccc1C(=O)NC(C(*)=O)c1ccccc1,Nc1ccc(F)c(C(=O)O)c1NC(=O)c1ccccc1C(=O)NC(C=O)c1ccccc1,-1527.685874461696,0.99591404,Polyamidation,293.10169,-8.2405,0.2541,0.405431,0.00094421,0.3239665,0.08240872,1.743608659,-1527.361907961696,-1527.279499251696,8.4946,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
3,OMG_polymer_105232,O=C(O)CC(CC(=O)O)c1ccncc1,NCC(N)C(=O)O,*NCC(NC(=O)CC(CC(*)=O)c1ccncc1)C(=O)O,NCC(NC(=O)CC(CC=O)c1ccncc1)C(=O)O,-970.840012995666,0.8917993,Polyamidation,181.5329,-9.882,0.119,0.31911731,0.00094421,0.25126876,0.06879276,1.596282295,-970.588744235666,-970.5199514756661,10.001,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
4,OMG_polymer_199732,COc1ccccc1C=NN(CC(=O)O)CC(=O)O,Nc1cc(Br)cc(C(=O)O)c1N,*Nc1cc(Br)cc(C(=O)O)c1NC(=O)CN(CC(*)=O)N=Cc1ccccc1OC,COc1ccccc1C=NN(CC=O)CC(=O)Nc1c(N)cc(Br)cc1C(=O)O,0.0,0.99114406,Polyamidation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
5,OMG_polymer_175493,O=C(O)C1CCC(C(=O)O)N(Cc2ccccc2)C1,Nc1cc(C(=O)O)ccc1S(N)(=O)=O,*Nc1cc(C(=O)O)ccc1S(=O)(=O)NC(=O)C1CCC(C(*)=O)N(Cc2ccccc2)C1,Nc1cc(C(=O)O)ccc1S(=O)(=O)NC(=O)C1CCC(C=O)N(Cc2ccccc2)C1,-1827.977290479173,0.9984452,Polyamidation,301.61583,-8.8482,-0.2344,0.45512169,0.00094421,0.37202991,0.08403599,4.909436123,-1827.605260569173,-1827.521224579173,8.6138,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
6,OMG_polymer_187388,O=C(O)CCN(CCC(=O)O)c1ccccc1,CCc1c(N)cc(C(=O)O)cc1N,*Nc1cc(C(=O)O)cc(NC(=O)CCN(CCC(*)=O)c2ccccc2)c1CC,CCc1c(N)cc(C(=O)O)cc1NC(=O)CCN(CCC=O)c1ccccc1,-1280.500586400085,0.9994735,Polyamidation,292.59032,-8.0035,0.0994,0.46389332,0.00094421,0.38064653,0.084191,6.016186403,-1280.119939870085,-1280.035748870085,8.1029,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
7,OMG_polymer_45027,O=C(O)CCCCCCCSc1ccccc1C(=O)O,Nc1ccc2cc(S(=O)(=O)O)ccc2c1N,*Nc1ccc2cc(S(=O)(=O)O)ccc2c1NC(=O)CCCCCCCSc1ccccc1C(*)=O,Nc1ccc2cc(S(=O)(=O)O)ccc2c1NC(=O)CCCCCCCSc1ccccc1C=O,-2251.591263579715,0.9713746,Polyamidation,374.02025,-8.2715,-0.1639,0.53008475,0.00094421,0.43684529,0.09418366,8.664061321,-2251.154418289715,-2251.060234619715,8.1076,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
8,OMG_polymer_133170,COCC(=O)N(CC(=O)O)CC(=O)O,Nc1cc(C(=O)O)cc(N)c1Cl,*Nc1cc(C(=O)O)cc(NC(=O)CN(CC(*)=O)C(=O)COC)c1Cl,COCC(=O)N(CC=O)CC(=O)Nc1cc(C(=O)O)cc(N)c1Cl,-1619.03690201161,0.9994461,Polyamidation,228.76321,-8.5663,0.1436,0.32750625,0.00094421,0.25088671,0.07756374,7.695874228,-1618.78601530161,-1618.70845155161,8.7099,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
9,OMG_polymer_150893,O=C(O)CSc1cc(C(F)(F)F)cc(SCC(=O)O)n1,Nc1c(Br)ccc(CC(=O)O)c1N,*Nc1c(Br)ccc(CC(=O)O)c1NC(=O)CSc1cc(C(F)(F)F)cc(SCC(*)=O)n1,Nc1c(Br)ccc(CC(=O)O)c1NC(=O)CSc1cc(C(F)(F)F)cc(SCC=O)n1,-4830.236365094907,0.96395,Polyamidation,318.6765,-8.4042,0.0561,0.34864662,0.00094421,0.26004423,0.0895466,3.714907834,-4829.976320864907,-4829.886774264907,8.4603,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
10,OMG_polymer_105469,Cn1nc(C(=O)O)c(C(=O)O)n1,Nc1ccc(F)c(C(=O)O)c1N,*Nc1ccc(F)c(C(=O)O)c1NC(=O)c1nn(C)nc1C(*)=O,Cn1nc(C=O)c(C(=O)Nc2c(N)ccc(F)c2C(=O)O)n1,-1137.924142996076,0.99653685,Polyamidation,199.74114,-8.3931,-0.178,0.9889683399999999,0.00094421,0.18254683,0.06516014,4.178268412,-1137.741596166076,-1136.934230446076,8.2151,ORCA,QC,"opt+freq: b3lyp/def2-TZVP em=gd3bj
energy: wB97M-V/ma-def2-TZVP"
